Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju)	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu)	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi)	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas)	Ðis skats man patîk	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 2	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 2	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 2	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 2	Ðis skats man patîk 2	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 2	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 3	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 3	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 3	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 3	Ðis skats man patîk 3	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 3	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 4	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 4	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 4	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 4	Ðis skats man patîk 4	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 4	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 5	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 5	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 5	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 5	Ðis skats man patîk 5	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 5	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 6	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 6	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 6	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 6	Ðis skats man patîk 6	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 6	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 7	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 7	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 7	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 7	Ðis skats man patîk 7	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 7	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 8	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 8	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 8	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 8	Ðis skats man patîk 8	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 8	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 9	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 9	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 9	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 9	Ðis skats man patîk 9	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 9	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 10	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 10	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 10	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 10	Ðis skats man patîk 10	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 10
5	6	6	6	6		5	6	5	6	5		6	6	6	6	6		5	6	6	6	6		6	6	6	6	6		5	5	6	6	5		6	6	6	6	6		5	6	6	6	6		5	6	6	6	6		5	6	6	6	6	
3	4	3	6	3		2	2	2	6	1		3	4	6	6	3		3	3	2	5	2		6	5	6	6	4		2	1	6	5	1		4	5	6	6	4		4	4	6	4	4		6	6	6	6	5		3	2	6	6	2	
4	5	6	6	5	Skata uzticamîbu vairotu tas, ja augðâ redzçtu kâdu iestâdes logo vai vietnes adresi, kas raisîtu uzticamîbu. 	5	6	6	6	6		6	6	5	6	6		5	6	6	6	6		5	6	6	6	6		5	5	6	6	5	man personîgi krâsas nepatîk, bet ar funkcionalitâti viss ok.	5	6	6	6	6		6	6	6	6	6		5	5	6	6	5		5	6	6	6	6	
6	4	6	6	5		4	3	3	2	2		2	4	2	5	3		5	6	3	4	5		5	5	6	6	4		5	4	6	6	5		6	3	6	6	6		2	5	6	6	4		6	2	6	6	5		5	6	4	6	5	
1	2	2	1	1		3	1	2	1	1		6	6	6	6	6		4	4	4	4	4		5	6	6	6	6		6	6	6	6	6		6	6	6	6	6		3	4	5	5	5		5	5	5	5	5		1	1	1	1	1	
4	3	3	5	3	Informatîvi viss pietiekami, bet bûtu vçlams kâds vizuâli pievilcîgâks izskats (ðis gauþâm minimâlisma stilâ)	4	3	3	5	3	Pârâk raiba vizualizâcija, iztrûkst uz bankas piederîbu norâdoðas vizualizâcijas (logo u.tml.)	5	4	4	5	4	"No ievadâmâs informâcijas viedokïa ""ierasts"" skats, bet vizuâli prasîtos norâdes, kas tâ ir par vietni, kurâ veic reìistrâciju"	4	5	5	5	4	Manuprât, labâks izskats, nekâ iepriekðçjâ versijâ, kaut informâcija identiska, bet joprojâm bûtu vçlama norâde uz konkrçto banku (logo, ûdenszîme vai tml.)	5	4	6	5	5	Ðíiet normâla darba sistçma, informâcija skaidra un saprotama	5	6	6	6	6	Visa nepiecieðamâ informâcija pieejama, pârskatâma un pietiekami lietiðíi noformçta	5	5	5	4	4	Iespçjams, vajadzçtu iespçjot meklçðanu vai filtru arî pçc kolonnâm, kas redzamas tabulâ	5	5	5	5	5	Ðíiet vieglâk uztverams, nekâ pirmâ versija, turklât varçtu bût vieglâk aizpildît cilvçkiem ar sliktâku redzi (lielâki izvçïòu laukumi)	4	4	4	4	4	Manuprât, bûtu labi, ja autorizçties varçtu ar Smart ID, e-paraksts u.tml. rîkiem, nesaskatu milzîgu atðíirîgu no iepriekðçjâ izskata, prasîtos lielâki burti un izvçlnes	3	4	4	5	4	Mulsina tas, ka pârsvîtrotâ un aktîvâ cena ir vienâda. Pluss ðim izskatam, ka bûtiskâkâ informâcija ir vispirms un tad uz leju tinot papildus info
3	4	3	5	4		3	3	3	3	4		4	4	5	5	5		4	5	3	4	5		5	5	5	5	5		4	5	5	5	5		4	4	4	4	4		5	5	4	5	5		4	4	4	4	4		4	4	4	4	4	
6	6	5	6	5		6	6	5	5	5		6	6	5	6	6		6	6	6	6	6		6	6	5	6	6		6	6	5	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
5	5	5	5	5	Datums un laiks pçc sajûtâm liekas novietots nomalç	5	2	2	2	2	"Diagramma ir pârâk raiba, prasâs blâvâkus krâsu toòus. Pçdçjo transakciju statusu statusa rimbuïi îsti ""nelec"" acîs"	6	6	6	6	6		5	5	4	4	4		5	5	5	5	5	Saraksta virsrakstu rinda vizuâli saplûst ar datu rindâm	4	3	3	3	3	Kaut kâ neliekas piemçrots e-komercijai	5	5	5	5	5		5	5	5	5	5		5	5	5	5	5		4	4	4	4	4	Nedaudz labâks par iepriekðçjo variantu. Heart ikonas poga liekas saspiesta
4	4	4	6	4		3	4	3	4	3		5	5	5	6	4		5	5	5	5	4		5	5	5	6	4		5	5	5	6	4		5	5	5	6	4		5	5	5	6	4		5	5	5	6	4		5	5	5	6	4	
5	3	4	6	5		3	3	2	2	2		2	3	1	6	1		3	3	2	2	2		6	4	6	6	6		1	4	2	6	4		6	4	6	6	6		5	3	4	6	5		2	3	1	6	1		1	4	2	6	4	
4	4	6	6	5		2	2	1	1	1		5	5	5	6	5		3	4	2	3	3		6	5	5	5	4		4	5	5	5	6		5	5	6	6	5		5	5	5	6	5		5	5	4	4	4		4	5	4	5	4	
5	5	5	6	5		5	5	4	5	5		6	5	5	6	5		5	5	6	5	5		5	4	5	4	4		5	5	6	6	5		5	5	5	4	5		5	5	5	5	5		6	5	5	6	5		5	5	5	6	5	
5	4	2	4	1		5	5	5	5	5		3	4	4	4	4		5	4	4	4	4		4	4	5	4	3		3	3	3	4	4		4	5	5	5	5		4	4	4	4	4		4	4	4	4	4		4	4	4	4	4	
3	3	5	5	5		3	4	4	5	5		2	2	4	4	4		3	4	4	5	5		2	2	3	3	2		3	4	4	4	5		3	3	3	3	3		2	2	5	5	5		2	2	3	3	4		2	2	2	2	4	
6	5	6	6	5		3	4	2	5	4		5	4	5	5	5		5	5	5	5	5		5	4	5	6	5		4	3	5	6	3		6	5	6	6	6		6	5	6	6	5		5	4	5	5	4		5	5	4	5	5	
3	4	5	6	4	"Pietrûkst pogas, lai atgrieztos iepriekðçjâ lapâ vai pârietu citâ sadaïâ. Trûkst pogas, lai izlogotos. Virstaksts ""vizîtes iemesls"" îsti netbilst iespçjai ""izvçlies speciâlitâti"", jo iemesls ir ""kaut kas sâp"" un to norâda ârstam paredzçtajâ komentârâ. Ja piedâvâtâ iespçja ir izvçlçties  konkrçtas jomas speciâlistu, piemçram endokrinologs, íirurgs vai kardiologs, tad virsrakstas arî varçtu bût ""specialitâte"", lîdzîgi kâ ""ârsts"" vai ""klînika"". un ""klînika"" arî bûtu pareizâk aizvietot ar ""ârstniecîbas iestâde"". çrtçk bûtu ja laiks bûtu nodalîts no datuma"	4	5	5	6	5	trûkst navigâcijas pogu. daïai statusa punktiòu izmantota tâ pati vai ïoti lîdzîga krâsa, kas grafikâ un tâpçc mazliet mulsina, jo nosûtîts maksâjums par veselîbu, bet grafikâ krâsa attiecas uz çdinâðanu	4	4	4	5	5		4	4	5	5	5	nav navigâcijas pogu, grafiks ar noapaïotiem galiem 2.skatâ izskatîjâs labâk, statusu nosaukumi ar krâsâm tagad ir krietni pamanâmâki, nekâ naudas summas, bet izmantotâ krâsa ir tâda pati vai ïoti lîdzîga kâ grafikâ 	4	4	5	5	4		3	4	5	5	5		3	4	5	5	5	man labâk patîk, ka statusu nosaukumi arî ir krâsaini (ne tikai bumbiòas) - tâ vieglâk lietotâjam uztvert un ieraudzît interesçjoðo	4	5	5	5	5	patîk, ka laiks nodalîts no datuma, pârçjais komentârs tâds pats kâ pie 2.skata	4	5	5	5	5		3	5	5	5	5	
3	3	1	3	3		2	2	1	4	2		4	4	4	6	5		3	3	1	3	3		3	3	2	3	3		3	3	2	4	3		3	3	2	3	2		4	4	4	6	4		3	3	2	3	3		3	3	2	3	2	
6	6	6	6	6	Viss ðíiet labi	6	6	5	5	6		6	6	6	6	6	"Kâpçc ir poga ""Ienâkt"", ja tâ ir reìistrâcijas forma?"	6	6	6	6	6	Ðíiet labâks, nekâ iepriekðçjais skats par to paðu bankas konta pârskatu	6	6	6	6	6	"Nav skaidrs filtra lauks ""Meklçt"" - kas tur jâievada un ko atlasîtu"	6	6	6	6	6	"Tas atlaides rimbulîtis ""-25%"" ðíiet pârâk tâlu no cenas, izskatâs atsaistîts"	6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	5	6	6	Patîk labâk par iepriekðçjo to paðu interneta veikala produkta lapu, izskatâs draudzîgâk
3	3	3	4	2	Biased viedoklis, jo ikdienâ sanâk veidot LX/UI	5	5	5	5	4		5	5	5	5	5		5	4	6	6	5		4	4	5	5	4		4	4	4	5	3		4	4	5	4	4		5	5	6	6	5		5	4	5	5	4		3	5	4	5	3	
1	1	1	1	1		1	1	1	1	1		3	3	3	4	3		1	1	1	1	1		4	4	5	5	4		2	2	2	2	2		4	4	4	4	4		5	5	5	5	5		5	5	5	5	5		3	3	3	3	3	
5	6	6	6	6		6	6	3	5	4		4	5	5	6	6		4	3	4	4	2		3	4	4	5	2		5	6	6	6	6		4	5	4	6	5		6	6	5	6	6		5	5	5	6	6		6	6	6	6	6	
4	4	3	4	4		2	2	2	2	1		4	4	5	5	5		3	2	3	2	3		3	3	3	3	3		4	5	4	5	4		2	3	2	3	2		5	5	5	4	5		4	3	3	4	3		4	4	3	4	4	
4	3	4	6	5		5	5	6	6	5		5	3	3	3	4	Automâtiski gribçtos ierakstît uzvârdu, ailç zem vârda. 	6	5	5	6	6		4	4	4	4	4		5	5	5	6	6		5	5	5	5	5		6	6	6	6	6		4	4	4	4	4		5	5	4	5	5	
4	3	3	1	1		4	4	4	4	4		5	5	5	6	5		5	5	5	5	5		4	4	4	4	4		5	5	5	5	5		4	4	4	4	4		5	5	5	5	5		4	4	4	4	4		5	5	5	5	5	
3	5	4	6	5		2	3	1	3	2		3	1	1	1	1		3	3	3	3	1		4	2	4	1	1		5	5	3	5	6		4	4	5	3	3		5	5	5	5	5		3	3	2	1	2		5	6	5	6	6	
5	4	6	4	1		6	6	3	5	3		3	3	6	5	4		5	5	1	5	4		4	3	6	4	1		2	3	6	3	1		2	3	3	4	3		6	4	6	3	1		3	4	6	1	1		2	2	2	2	2	
6	6	6	6	6	"Pârskatâmi un  çrts
"	5	5	5	5	5	Mazliet par krâsainu 	6	6	6	6	6		5	6	5	6	6	Ikdie as lietoðanai bûtu çrts	6	6	6	6	6	Izskatâs oficiâls	6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
3	3	4	4	3	Tas nav droðs. 	4	2	2	3	2	Mani tas nepârliecina, pârâk uzkrîtoði. 	1	2	1	1	1	Pie reìistrâcijas pârâk saudz informâcijas jânorâda 	3	2	2	3	3		5	4	5	3	4		4	5	4	4	5		4	4	3	3	4		3	3	4	3	4		2	2	2	3	1		4	4	4	5	4	
6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		4	4	4	5	5		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		4	4	4	4	4	
4	5	5	6	6		6	6	1	6	6		5	5	6	6	3		5	5	6	6	5		5	2	5	3	3		6	4	6	5	4		5	5	4	3	3		5	3	6	5	4		6	4	5	6	6		6	4	6	4	4	
